gene_symbol,ensembl_id,sample_name,tissue,condition_name,expression_value,expression_unit,source_database
IL10,ENSG00000136634,gdT-cell,gdT-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL10,ENSG00000136634,intermediate monocyte,intermediate monocyte,normal immune cell,1.0,TPM,Human Protein Atlas
IL10,ENSG00000136634,memory B-cell,memory B-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL10,ENSG00000136634,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL10,ENSG00000136634,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,0.2,TPM,Human Protein Atlas
IL10,ENSG00000136634,myeloid DC,myeloid DC,normal immune cell,0.1,TPM,Human Protein Atlas
IL10,ENSG00000136634,naive B-cell,naive B-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL10,ENSG00000136634,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL10,ENSG00000136634,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
IL10,ENSG00000136634,neutrophil,neutrophil,normal immune cell,0.0,TPM,Human Protein Atlas
IL10,ENSG00000136634,non-classical monocyte,non-classical monocyte,normal immune cell,0.4,TPM,Human Protein Atlas
IL10,ENSG00000136634,plasmacytoid DC,plasmacytoid DC,normal immune cell,0.0,TPM,Human Protein Atlas
IL10,ENSG00000136634,total PBMC,total PBMC,normal immune cell,0.1,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,MAIT T-cell,MAIT T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,NK-cell,NK-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,T-reg,T-reg,normal immune cell,0.0,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,basophil,basophil,normal immune cell,0.9,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,classical monocyte,classical monocyte,normal immune cell,0.3,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,eosinophil,eosinophil,normal immune cell,0.1,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,gdT-cell,gdT-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,intermediate monocyte,intermediate monocyte,normal immune cell,0.1,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,memory B-cell,memory B-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,myeloid DC,myeloid DC,normal immune cell,0.0,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,naive B-cell,naive B-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,neutrophil,neutrophil,normal immune cell,273.1,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,non-classical monocyte,non-classical monocyte,normal immune cell,0.0,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,plasmacytoid DC,plasmacytoid DC,normal immune cell,0.0,TPM,Human Protein Atlas
CXCL8,ENSG00000169429,total PBMC,total PBMC,normal immune cell,0.0,TPM,Human Protein Atlas
CCL2,ENSG00000108691,MAIT T-cell,MAIT T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CCL2,ENSG00000108691,NK-cell,NK-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CCL2,ENSG00000108691,T-reg,T-reg,normal immune cell,0.0,TPM,Human Protein Atlas
CCL2,ENSG00000108691,basophil,basophil,normal immune cell,0.0,TPM,Human Protein Atlas
CCL2,ENSG00000108691,classical monocyte,classical monocyte,normal immune cell,6.3,TPM,Human Protein Atlas
CCL2,ENSG00000108691,eosinophil,eosinophil,normal immune cell,2.6,TPM,Human Protein Atlas
CCL2,ENSG00000108691,gdT-cell,gdT-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CCL2,ENSG00000108691,intermediate monocyte,intermediate monocyte,normal immune cell,0.2,TPM,Human Protein Atlas
CCL2,ENSG00000108691,memory B-cell,memory B-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CCL2,ENSG00000108691,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CCL2,ENSG00000108691,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CCL2,ENSG00000108691,myeloid DC,myeloid DC,normal immune cell,0.7,TPM,Human Protein Atlas
CCL2,ENSG00000108691,naive B-cell,naive B-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CCL2,ENSG00000108691,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CCL2,ENSG00000108691,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
CCL2,ENSG00000108691,neutrophil,neutrophil,normal immune cell,0.3,TPM,Human Protein Atlas
CCL2,ENSG00000108691,non-classical monocyte,non-classical monocyte,normal immune cell,0.0,TPM,Human Protein Atlas
CCL2,ENSG00000108691,plasmacytoid DC,plasmacytoid DC,normal immune cell,0.2,TPM,Human Protein Atlas
CCL2,ENSG00000108691,total PBMC,total PBMC,normal immune cell,0.8,TPM,Human Protein Atlas
TLR2,ENSG00000137462,MAIT T-cell,MAIT T-cell,normal immune cell,0.4,TPM,Human Protein Atlas
TLR2,ENSG00000137462,NK-cell,NK-cell,normal immune cell,6.0,TPM,Human Protein Atlas
TLR2,ENSG00000137462,T-reg,T-reg,normal immune cell,0.1,TPM,Human Protein Atlas
TLR2,ENSG00000137462,basophil,basophil,normal immune cell,35.5,TPM,Human Protein Atlas
TLR2,ENSG00000137462,classical monocyte,classical monocyte,normal immune cell,149.9,TPM,Human Protein Atlas
TLR2,ENSG00000137462,eosinophil,eosinophil,normal immune cell,1.4,TPM,Human Protein Atlas
TLR2,ENSG00000137462,gdT-cell,gdT-cell,normal immune cell,0.3,TPM,Human Protein Atlas
TLR2,ENSG00000137462,intermediate monocyte,intermediate monocyte,normal immune cell,147.6,TPM,Human Protein Atlas
TLR2,ENSG00000137462,memory B-cell,memory B-cell,normal immune cell,0.3,TPM,Human Protein Atlas
TLR2,ENSG00000137462,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,0.9,TPM,Human Protein Atlas
TLR2,ENSG00000137462,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,0.3,TPM,Human Protein Atlas
TLR2,ENSG00000137462,myeloid DC,myeloid DC,normal immune cell,103.4,TPM,Human Protein Atlas
TLR2,ENSG00000137462,naive B-cell,naive B-cell,normal immune cell,1.0,TPM,Human Protein Atlas
TLR2,ENSG00000137462,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,1.1,TPM,Human Protein Atlas
TLR2,ENSG00000137462,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,0.2,TPM,Human Protein Atlas
TLR2,ENSG00000137462,neutrophil,neutrophil,normal immune cell,294.0,TPM,Human Protein Atlas
TLR2,ENSG00000137462,non-classical monocyte,non-classical monocyte,normal immune cell,100.2,TPM,Human Protein Atlas
TLR2,ENSG00000137462,plasmacytoid DC,plasmacytoid DC,normal immune cell,1.1,TPM,Human Protein Atlas
TLR2,ENSG00000137462,total PBMC,total PBMC,normal immune cell,27.7,TPM,Human Protein Atlas
TLR4,ENSG00000136869,MAIT T-cell,MAIT T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
TLR4,ENSG00000136869,NK-cell,NK-cell,normal immune cell,0.1,TPM,Human Protein Atlas
TLR4,ENSG00000136869,T-reg,T-reg,normal immune cell,0.0,TPM,Human Protein Atlas
TLR4,ENSG00000136869,basophil,basophil,normal immune cell,46.8,TPM,Human Protein Atlas
TLR4,ENSG00000136869,classical monocyte,classical monocyte,normal immune cell,50.3,TPM,Human Protein Atlas
TLR4,ENSG00000136869,eosinophil,eosinophil,normal immune cell,17.9,TPM,Human Protein Atlas
TLR4,ENSG00000136869,gdT-cell,gdT-cell,normal immune cell,0.1,TPM,Human Protein Atlas
TLR4,ENSG00000136869,intermediate monocyte,intermediate monocyte,normal immune cell,47.7,TPM,Human Protein Atlas
TLR4,ENSG00000136869,memory B-cell,memory B-cell,normal immune cell,1.2,TPM,Human Protein Atlas
TLR4,ENSG00000136869,memory CD4 T-cell,memory CD4 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
TLR4,ENSG00000136869,memory CD8 T-cell,memory CD8 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
TLR4,ENSG00000136869,myeloid DC,myeloid DC,normal immune cell,18.9,TPM,Human Protein Atlas
TLR4,ENSG00000136869,naive B-cell,naive B-cell,normal immune cell,0.4,TPM,Human Protein Atlas
TLR4,ENSG00000136869,naive CD4 T-cell,naive CD4 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
TLR4,ENSG00000136869,naive CD8 T-cell,naive CD8 T-cell,normal immune cell,0.0,TPM,Human Protein Atlas
TLR4,ENSG00000136869,neutrophil,neutrophil,normal immune cell,55.5,TPM,Human Protein Atlas
TLR4,ENSG00000136869,non-classical monocyte,non-classical monocyte,normal immune cell,52.2,TPM,Human Protein Atlas
